Any;Comarca;Valors
2015;Conca de Barberà;170
2016;Conca de Barberà;174
2017;Conca de Barberà;178
2018;Conca de Barberà;182
2019;Conca de Barberà;178
2020;Conca de Barberà;178
2021;Conca de Barberà;188
2022;Conca de Barberà;198
2023;Conca de Barberà;206
2001;Garraf;419
2002;Garraf;425
2003;Garraf;448
2004;Garraf;473
2005;Garraf;496
2006;Garraf;521
2007;Garraf;530
2008;Garraf;549
2009;Garraf;579
2010;Garraf;599
2011;Garraf;626
2012;Garraf;653
2013;Garraf;691
2014;Garraf;733
2015;Garraf;773
2016;Garraf;814
2017;Garraf;857
2018;Garraf;925
2019;Garraf;994
2020;Garraf;1004
2021;Garraf;1071
2022;Garraf;1112
2023;Garraf;1.188
2001;Garrigues;93
2002;Garrigues;92
2003;Garrigues;103
2004;Garrigues;106
2005;Garrigues;111
2006;Garrigues;113
2007;Garrigues;118
2008;Garrigues;117
2009;Garrigues;117
2010;Garrigues;121
2011;Garrigues;127
2012;Garrigues;130
2013;Garrigues;136
2014;Garrigues;136
2015;Garrigues;139
2016;Garrigues;152
2017;Garrigues;156
2018;Garrigues;165
2019;Garrigues;170
2020;Garrigues;179
2021;Garrigues;178
2022;Garrigues;188
2023;Garrigues;187
2001;Garrotxa;366
2002;Garrotxa;376
2003;Garrotxa;387
2004;Garrotxa;389
2005;Garrotxa;414
2006;Garrotxa;431
2007;Garrotxa;441
2008;Garrotxa;445
2009;Garrotxa;452
2010;Garrotxa;465
2011;Garrotxa;477
2012;Garrotxa;493
2013;Garrotxa;509
2014;Garrotxa;518
2015;Garrotxa;521
2016;Garrotxa;521
2017;Garrotxa;525
2018;Garrotxa;552
2019;Garrotxa;579
2020;Garrotxa;603
2021;Garrotxa;668
2022;Garrotxa;710
2023;Garrotxa;753
2001;Gironès;1032
2002;Gironès;1076
2003;Gironès;1126
2004;Gironès;1167
2005;Gironès;1238
2006;Gironès;1268
2007;Gironès;1301
2008;Gironès;1344
2009;Gironès;1410
2010;Gironès;1480
2011;Gironès;1502
2012;Gironès;1578
2013;Gironès;1648
2014;Gironès;1690
2015;Gironès;1755
2016;Gironès;1835
2017;Gironès;1952
2018;Gironès;2092
2019;Gironès;2216
2020;Gironès;2299
2021;Gironès;2521
2022;Gironès;2750
2023;Gironès;2.924
2023;Lluçanès;46
2001;Maresme;1500
2002;Maresme;1541
2003;Maresme;1582
2004;Maresme;1660
2005;Maresme;1689
2006;Maresme;1754
2007;Maresme;1804
2008;Maresme;1824
2009;Maresme;1868
2010;Maresme;1919
2011;Maresme;2021
2012;Maresme;2180
2013;Maresme;2319
2014;Maresme;2441
2015;Maresme;2574
2016;Maresme;2660
2017;Maresme;2846
2018;Maresme;3114
2019;Maresme;3357
2020;Maresme;3505
2021;Maresme;3766
2022;Maresme;4180
2023;Maresme;4.583
2001;Moianès;
2002;Moianès;
2003;Moianès;
2004;Moianès;
2005;Moianès;
2006;Moianès;
2007;Moianès;
2008;Moianès;
2009;Moianès;
2010;Moianès;
2011;Moianès;
