id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1096291712704272400,BILBO Near ático rural con terraza,61663624,Nagore,Vizcaya,Basauri,43.2209025729772,-2.8960891647399767,Entire home/apt,124,2,11,2024-06-01,3.27,1,58,11,LBI00637
1096332717797062928,Bilbao Arte II by Aston Rentals,160412156,Aston,Vizcaya,Bilbao,43.266710759,-2.935212659,Entire home/apt,123,1,2,2024-04-02,0.65,43,323,2,EBI00457
1096446310007674050,Gure Toki Algorta muy cerca de la playa,563267661,Ainara,Vizcaya,Getxo,43.34468193138966,-3.007578195039573,Entire home/apt,192,2,0,,,1,151,0,
1096622035753295415,2 habitaciones para 3 personas,56223475,Álvaro,Vizcaya,Getxo,43.32386,-3.01282,Private room,104,1,0,,,3,31,0,
1096802511567030891,La casa entera,445295072,Sonia,Ãlava,Urkabustaiz,42.95368818905568,-2.8942912817001343,Entire home/apt,180,1,2,2024-06-09,1.40,3,240,2,
1096960957235921677,Portuko.,117422992,Basquenjoy,GuipÃºzcoa,Hondarribia,43.36774627829087,-1.7935268071301989,Entire home/apt,187,2,4,2024-05-19,1.28,19,72,4,ESS03257
1096967877848773260,AkomodaT en precioso con jardín y parking,534780077,Joseba,Vizcaya,Getxo,43.35863966418496,-3.0067730566312174,Entire home/apt,185,2,9,2024-06-18,3.65,4,257,9,EBI02463
1097025046481108965,Apartamento en Indautxu,562138762,Maria Lourdes,Vizcaya,Bilbao,43.2600656,-2.9452436,Entire home/apt,141,1,10,2024-06-21,2.97,1,109,10,
1097631197468510768,Apartment next to the beach,105682735,Inko,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32300656934147,-1.9862638963982007,Entire home/apt,71,32,0,,,1,179,0,
1097675085022727074,"Kukutegi 1:
Habitación individual con baño y ducha",525082309,Ruben,GuipÃºzcoa,Lezo,43.32949119630032,-1.866341053967282,Private room,61,2,4,2024-06-02,1.24,3,86,4,
1097763896518689648,Apartamento en Licenciado Pozas,261227766,Susana,Vizcaya,Bilbao,43.26305869999999,-2.9449716,Entire home/apt,177,1,17,2024-06-24,5.00,1,85,17,
1097836801153174582,Refugio en la naturaleza,563590581,Andreea,GuipÃºzcoa,Oiartzun,43.2882092,-1.8294334,Entire home/apt,400,2,0,,,1,168,0,XSS00172
1098267927046338399,Apartamento Haitz,563685065,Jose Ramon,Vizcaya,Gernika-Lumo,43.3110086,-2.6790943,Entire home/apt,111,2,5,2024-06-25,2.54,1,127,5,
1098309529332272854,Piso Deluxe con Balcón Cerca del Casco Viejo,563691558,Ainhoa,Vizcaya,Bilbao,43.25466563905727,-2.9268076866816384,Entire home/apt,140,1,8,2024-06-16,2.89,1,172,8,
1098341222929785653,Alojamiento en Bermeo,563696533,Florencia,Vizcaya,Bermeo,43.42072,-2.72289,Private room,54,1,36,2024-06-15,9.56,1,170,36,
1098355588496670518,Casa Amaya - beachfront apartment with pool,105906628,Amaya,Vizcaya,Sopelana,43.39188550556415,-2.9876562531581623,Entire home/apt,176,5,0,,,1,207,0,
1098416241519279079,Ático cerca del mar,32604103,Irene,Vizcaya,Getxo,43.35151596986572,-3.011418388035288,Private room,60,1,0,,,1,269,0,
1099167335840801573,"Maison Laida
apart. 1",563878972,Irune,Vizcaya,Ibarrangelu,43.400002084757766,-2.6848992423278784,Entire home/apt,173,1,1,2024-05-12,0.60,4,326,1,
1099206171355864071,"Maison Laida
Apart. 2",563878972,Irune,Vizcaya,Ibarrangelu,43.4001424,-2.6849207,Entire home/apt,138,1,1,2024-05-26,0.83,4,324,1,
1099216056235131222,"Gorliz, piso acogedor playa",335636840,Bego,Vizcaya,Gorliz,43.41375,-2.93414,Entire home/apt,146,2,2,2024-05-26,1.20,1,120,2,EBI02778
1099225599122270272,Apartamento Sfuentes Bi,476329250,Idoia,Vizcaya,Abanto y CiÃ©rvana-Abanto Zierbena,43.32576445337105,-3.0726258611113355,Entire home/apt,110,2,0,,,2,218,0,EBI02702
1099234587275409407,"Maison Laida
Apart. 4",563878972,Irune,Vizcaya,Ibarrangelu,43.4001424,-2.6849207,Entire home/apt,195,1,2,2024-06-11,1.13,4,312,2,
1099241164579261311,"Maison Laida
Apart. 6",563878972,Irune,Vizcaya,Ibarrangelu,43.4001424,-2.6849207,Entire home/apt,195,1,1,2024-04-01,0.33,4,309,1,
1099368188468931242,Bakio beach con garage,563951938,Jabier,Vizcaya,Bakio,43.42374741261377,-2.8108653273422703,Entire home/apt,160,6,0,,,1,297,0,EBI02703 - BAKIO BEACH
1099771869419364824,El Mirador de Bermeo,562702280,Leire,Vizcaya,Bermeo,43.4165593,-2.7204047,Entire home/apt,90,1,0,,,1,364,0,
