Any,Comarca,Tipologia,Habitatges,Capacitat,Entitat privada d'iniciativa social_count,Entitat d'iniciativa pública_count,Entitat privada d'iniciativa mercantil_count,Habitatge acumulat,Capacitat acumulada
1989,Baix Empordà,Llar amb suport,0,0,,,,0,0
1989,Baix Empordà,Llar residència,0,0,,,,0,0
1989,Baix Empordà,Residència,0,0,,,,0,0
1989,Baix Llobregat,Llar amb suport,0,0,,,,0,0
1989,Baix Llobregat,Llar residència,0,0,,,,0,0
1989,Baix Llobregat,Residència,0,0,,,,0,0
1989,Baix Penedès,Llar amb suport,0,0,,,,0,0
1989,Baix Penedès,Llar residència,0,0,,,,0,0
1989,Baix Penedès,Residència,0,0,,,,0,0
1989,Barcelonès,Llar amb suport,0,0,,,,0,0
1989,Barcelonès,Llar residència,0,0,,,,0,0
1989,Barcelonès,Residència,0,0,,,,0,0
1989,Berguedà,Llar amb suport,0,0,,,,0,0
1989,Berguedà,Llar residència,0,0,,,,0,0
1989,Berguedà,Residència,0,0,,,,0,0
1989,Cerdanya,Llar amb suport,0,0,,,,0,0
1989,Cerdanya,Llar residència,0,0,,,,0,0
1989,Cerdanya,Residència,0,0,,,,0,0
1989,Conca de Barberà,Llar amb suport,0,0,,,,0,0
1989,Conca de Barberà,Llar residència,0,0,,,,0,0
1989,Conca de Barberà,Residència,0,0,,,,0,0
1989,Garraf,Llar amb suport,0,0,,,,0,0
1989,Garraf,Llar residència,0,0,,,,0,0
1989,Garraf,Residència,0,0,,,,0,0
1989,Garrigues,Llar amb suport,0,0,,,,0,0
1989,Garrigues,Llar residència,0,0,,,,0,0
1989,Garrigues,Residència,0,0,,,,0,0
1989,Garrotxa,Llar amb suport,0,0,,,,0,0
1989,Garrotxa,Llar residència,0,0,,,,0,0
1989,Garrotxa,Residència,0,0,,,,0,0
1989,Gironès,Llar amb suport,0,0,,,,0,0
1989,Gironès,Llar residència,0,0,,,,0,0
1989,Gironès,Residència,0,0,,,,0,0
1989,Lluçanès,Llar amb suport,0,0,,,,0,0
1989,Lluçanès,Llar residència,0,0,,,,0,0
1989,Lluçanès,Residència,0,0,,,,0,0
1989,Maresme,Llar amb suport,0,0,,,,0,0
1989,Maresme,Llar residència,0,0,,,,0,0
1989,Maresme,Residència,0,0,,,,2,202
1989,Moianès,Llar amb suport,0,0,,,,0,0
1989,Moianès,Llar residència,0,0,,,,0,0
1989,Moianès,Residència,0,0,,,,0,0
1989,Montsià,Llar amb suport,0,0,,,,0,0
